User_ID,Age,Gender,Location,Occupation,Marital_Status,Education_Level,Income_Level,Device_Type,App_Download_Source,Region,App_Name,Screen_Time,Session_Count,Notifications_Received,Time_Spent_Per_Session,App_Installs,App_Version,Usage_Patterns,Peak_Usage_Times,Break_Intervals,Usage_Frequency,App_Addiction_Level,Engagement_Level,Social_Interaction,App_Purpose,Content_Type,Average_Interaction_Time,Sleep_Disruption,Distraction_Level
U0011,-1,Other,Lake Angieshire,Retired,Widowed,High School,Low,iOS,Other,East,WhatsApp,9999,9999,32,16,Invalid,Latest,Regular,Evening,10 mins every hour,Daily,99,24,149,Socializing,Photos,27,9,5
U0012,49,Male,Reynoldsfort,Professional,Married,Postgraduate,Low,Tablet,Other,South,Twitter,81,7,42,10,Yes,v1.2,Binge,Morning,5 mins every hour,Daily,70,67,396,Work,Text Posts,24,3,4
U0013,48,Other,West Kristenton,Unemployed,Widowed,High School,Middle,Android,Apple Store,South,Twitter,165,5,17,22,No,Beta,Regular,Night,10 mins every hour,Daily,87,24,152,Entertainment,Videos,25,4,7
U0014,99,Male,Owenshire,Unemployed,Married,High School,Low,Tablet,Google Play,South,WhatsApp,221,2,42,27,Invalid,v1.0,Binge,Evening,5 mins every hour,Monthly,69,57,338,Education,Photos,13,3,5
U0015,99,Female,Brownland,Retired,Single,High School,Middle,Tablet,Apple Store,South,Twitter,9999,Invalid,13,29,No,v1.0,Rare,Evening,10 mins every hour,Daily,0,92,349,Work,Stories,29,9,2
U0016,46,Female,West Debra,Retired,Single,Undergraduate,Low,Tablet,Google Play,East,TikTok,254,2,24,11,No,v1.2,Regular,Evening,10 mins every hour,Daily,Invalid,27,119,Work,Text Posts,16,6,7
U0017,25,Male,Port Patricia,Retired,Widowed,Postgraduate,Middle,Tablet,Google Play,North,Twitter,255,9999,9,27,No,v1.0,Rare,Night,5 mins every hour,Monthly,2,62,367,Entertainment,Photos,16,1,7
U0018,41,Female,Hicksville,Unemployed,Married,High School,Low,iOS,Other,West,Twitter,286,13,0,18,No,v1.0,Rare,Evening,None,Monthly,75,26,426,Work,Stories,17,2,4
U0019,20,Other,Christineberg,Professional,Married,Undergraduate,High,Tablet,Apple Store,East,Facebook,127,17,37,19,No,v1.2,Binge,Evening,5 mins every hour,Daily,33,55,476,News,Stories,18,7,5
U0020,50,Male,Michaelside,Professional,Widowed,Undergraduate,Low,Tablet,Other,North,Twitter,241,17,35,17,No,v1.0,Rare,Morning,None,Daily,91,83,189,Entertainment,Text Posts,15,0,6
U0021,25,Male,West Brad,Professional,Widowed,High School,Middle,Tablet,Google Play,West,WhatsApp,118,9999,26,10,No,v1.0,Regular,Morning,10 mins every hour,Monthly,36,45,177,News,Photos,25,5,3
U0022,40,Other,South Jonathonchester,Student,Widowed,Undergraduate,Middle,Tablet,Apple Store,West,Facebook,Invalid,9999,45,20,No,v1.2,Regular,Morning,5 mins every hour,Monthly,40,22,2,Socializing,Stories,18,3,6
U0023,Invalid,Male,North Adamport,Unemployed,Widowed,Postgraduate,High,iOS,Google Play,East,Twitter,156,10,45,6,Yes,Beta,Binge,Morning,None,Weekly,49,43,216,News,Videos,10,6,9
U0024,46,Other,Thomasberg,Retired,Married,Undergraduate,Middle,Android,Apple Store,East,WhatsApp,272,13,4,27,Invalid,v1.1,Rare,Night,10 mins every hour,Monthly,25,72,242,Work,Stories,5,10,6
U0025,22,Other,New Shawn,Unemployed,Married,Postgraduate,High,iOS,Google Play,West,Twitter,110,11,25,10,No,v1.1,Regular,Evening,None,Monthly,42,37,224,Education,Text Posts,7,1,5
U0026,22,Male,Harriston,Student,Single,Postgraduate,Middle,Android,Apple Store,South,WhatsApp,158,9999,16,21,Yes,Latest,Regular,Night,None,Daily,43,25,496,Work,Photos,16,9,10
U0027,52,Female,Hodgesborough,Retired,Widowed,Postgraduate,High,iOS,Apple Store,West,Twitter,41,4,14,5,Yes,v1.0,Binge,Evening,10 mins every hour,Weekly,Invalid,31,372,Entertainment,Text Posts,5,6,3
U0028,26,Invalid,Mcfarlandside,Student,Widowed,High School,Low,iOS,Google Play,East,Twitter,9999,6,26,8,No,v1.2,Rare,Evening,5 mins every hour,Daily,64,32,229,News,Stories,12,6,2
U0029,-1,Other,North Lukeview,Student,Single,Postgraduate,Low,Tablet,Other,North,Twitter,Invalid,Invalid,28,27,Yes,Beta,Binge,Evening,5 mins every hour,Weekly,9999,10,208,Socializing,Stories,18,1,7
U0030,28,Male,Yvetteport,Professional,Single,Undergraduate,Low,iOS,Google Play,West,Facebook,Invalid,9999,25,9,No,v1.1,Binge,Night,5 mins every hour,Monthly,9999,93,475,Socializing,Stories,23,0,8
U0031,33,Male,Lake Richard,Student,Single,High School,Middle,Android,Apple Store,West,Facebook,9999,15,35,14,Yes,Latest,Rare,Evening,10 mins every hour,Monthly,79,19,171,Entertainment,Photos,13,3,9
U0032,25,Male,Elizabethshire,Student,Widowed,High School,Low,Tablet,Google Play,East,TikTok,67,Invalid,2,5,No,Beta,Regular,Evening,None,Monthly,5,40,338,Socializing,Photos,13,6,9
U0033,19,Other,Aliciaberg,Retired,Widowed,Postgraduate,Low,Tablet,Apple Store,East,Instagram,60,14,21,19,No,v1.2,Binge,Afternoon,5 mins every hour,Daily,88,94,316,News,Stories,11,10,3
U0034,50,Male,New Heather,Student,Widowed,Postgraduate,Middle,Android,Google Play,South,WhatsApp,65,6,7,18,Yes,v1.2,Regular,Morning,None,Weekly,Invalid,7,23,News,Videos,23,9,10
U0035,-1,Male,New Patricia,Student,Married,High School,Low,iOS,Apple Store,North,TikTok,101,18,5,10,Yes,v1.0,Rare,Afternoon,5 mins every hour,Monthly,24,96,181,News,Stories,19,0,6
U0036,32,Other,Port Jonathanberg,Unemployed,Married,Undergraduate,High,Android,Other,East,Facebook,9999,7,45,9,No,v1.0,Rare,Night,10 mins every hour,Monthly,83,75,258,Education,Videos,7,0,1
U0037,99,Other,Justinfurt,Student,Single,High School,Low,Android,Other,South,TikTok,74,12,30,8,Invalid,v1.0,Regular,Evening,5 mins every hour,Weekly,31,30,430,Entertainment,Stories,11,7,4
U0038,30,Other,North Luis,Student,Single,Postgraduate,Middle,iOS,Google Play,East,WhatsApp,Invalid,12,42,27,Invalid,Latest,Binge,Night,None,Daily,55,9,123,Education,Videos,6,3,4
U0039,49,Female,Paulburgh,Unemployed,Widowed,Postgraduate,Middle,Android,Other,East,Facebook,50,19,46,12,No,v1.2,Regular,Evening,None,Weekly,55,58,411,News,Stories,15,4,9
U0040,40,Other,Millsland,Unemployed,Widowed,High School,High,Tablet,Other,East,WhatsApp,9999,6,45,29,Yes,v1.0,Regular,Afternoon,5 mins every hour,Monthly,32,69,273,Entertainment,Stories,16,7,7
U0041,58,Other,West Calvinmouth,Unemployed,Married,Postgraduate,Low,Android,Apple Store,South,Facebook,121,5,34,10,Yes,Beta,Regular,Evening,5 mins every hour,Monthly,39,55,28,News,Text Posts,16,8,6
U0042,38,Male,New Josephberg,Student,Widowed,Undergraduate,Low,Android,Google Play,South,Facebook,254,4,19,6,No,v1.0,Binge,Night,None,Monthly,80,86,103,News,Videos,15,0,9
U0043,-1,Female,Ryanfurt,Student,Single,Postgraduate,Middle,iOS,Apple Store,South,Twitter,199,16,18,13,Invalid,v1.2,Binge,Afternoon,None,Daily,Invalid,75,18,Entertainment,Photos,11,2,9
U0044,18,Other,Eddieport,Retired,Married,Postgraduate,Low,iOS,Apple Store,West,WhatsApp,Invalid,2,16,15,Yes,v1.1,Regular,Afternoon,5 mins every hour,Daily,9999,41,286,Education,Videos,25,1,10
U0045,36,Female,Christinefort,Student,Married,Undergraduate,Low,iOS,Google Play,West,TikTok,9999,14,21,6,No,Latest,Regular,Morning,None,Daily,34,19,473,Work,Stories,23,4,6
U0046,35,Other,Farleybury,Student,Single,High School,Middle,Tablet,Apple Store,South,WhatsApp,244,1,34,22,Yes,v1.2,Regular,Morning,10 mins every hour,Monthly,60,3,137,Entertainment,Text Posts,16,1,1
U0047,51,Other,Carrolltown,Retired,Widowed,Postgraduate,Low,Android,Google Play,South,WhatsApp,175,9999,47,22,Yes,v1.2,Regular,Afternoon,5 mins every hour,Daily,Invalid,27,481,Work,Photos,28,2,6
U0048,27,Other,Lopezmouth,Professional,Married,Undergraduate,High,iOS,Google Play,North,Instagram,112,16,11,20,Yes,v1.1,Binge,Evening,5 mins every hour,Monthly,15,50,219,Education,Stories,19,6,2
U0049,-1,Female,West Chrisview,Retired,Single,High School,Low,Tablet,Apple Store,West,WhatsApp,223,Invalid,2,8,Yes,v1.1,Regular,Night,5 mins every hour,Daily,33,22,114,Entertainment,Photos,11,9,8
U0050,58,Male,New Melissa,Professional,Widowed,Undergraduate,Middle,Android,Apple Store,West,Facebook,Invalid,14,47,14,Invalid,Beta,Regular,Night,5 mins every hour,Daily,Invalid,42,307,Work,Videos,20,2,1
U0051,35,Female,Davidsontown,Retired,Widowed,Undergraduate,Middle,Android,Google Play,North,TikTok,38,9999,3,24,Yes,Beta,Rare,Night,None,Monthly,48,68,409,News,Stories,23,8,1
U0052,Invalid,Male,New Christina,Unemployed,Married,High School,High,Android,Apple Store,South,TikTok,265,1,16,9,Invalid,v1.0,Regular,Morning,5 mins every hour,Daily,45,37,105,Education,Text Posts,29,5,1
U0053,Invalid,Female,West Peggyfurt,Student,Widowed,Undergraduate,Middle,iOS,Google Play,South,TikTok,46,1,46,23,No,v1.1,Regular,Evening,10 mins every hour,Daily,88,47,438,Education,Text Posts,14,2,6
U0054,19,Female,Patrickside,Unemployed,Widowed,Undergraduate,Middle,Tablet,Other,South,WhatsApp,86,13,30,23,No,Beta,Regular,Night,10 mins every hour,Monthly,9999,47,328,Socializing,Stories,21,8,8
U0055,99,Unknown,North Antonio,Unemployed,Widowed,High School,High,iOS,Google Play,South,WhatsApp,70,13,26,29,No,v1.0,Binge,Evening,10 mins every hour,Monthly,1,27,280,Work,Stories,15,8,5
U0056,33,Male,West Jerry,Retired,Widowed,Undergraduate,Middle,Android,Apple Store,West,WhatsApp,268,5,31,24,No,Latest,Binge,Night,None,Weekly,95,24,340,Entertainment,Stories,14,1,4
U0057,27,Other,East Kimberlyhaven,Professional,Widowed,Undergraduate,Low,Tablet,Other,West,Instagram,149,16,26,12,Yes,v1.2,Regular,Morning,None,Daily,47,35,363,Socializing,Videos,17,8,2
U0058,56,Unknown,New Davidton,Unemployed,Married,Undergraduate,High,Android,Google Play,West,Facebook,86,6,1,25,No,Latest,Regular,Night,5 mins every hour,Monthly,13,22,303,Entertainment,Photos,17,10,8
U0059,Invalid,Invalid,Tinahaven,Retired,Single,Undergraduate,Middle,iOS,Apple Store,West,Instagram,71,13,38,24,Yes,v1.0,Binge,Afternoon,10 mins every hour,Weekly,52,77,166,Entertainment,Videos,8,1,2
U0060,23,Other,Robinberg,Unemployed,Widowed,High School,Low,iOS,Google Play,South,Instagram,62,9,10,22,Yes,v1.2,Rare,Afternoon,5 mins every hour,Monthly,90,52,36,Entertainment,Text Posts,5,4,3
U0061,53,Other,Johnsonshire,Retired,Single,Undergraduate,High,Android,Other,South,Instagram,9999,18,46,21,Invalid,v1.1,Rare,Afternoon,10 mins every hour,Monthly,97,30,375,Socializing,Text Posts,5,1,8
U0062,-1,Female,Campbellton,Student,Widowed,Undergraduate,Low,Android,Google Play,West,Facebook,Invalid,8,29,19,Invalid,Beta,Binge,Evening,10 mins every hour,Monthly,Invalid,61,269,Work,Photos,18,0,3
U0063,99,Other,New Sharon,Unemployed,Married,Undergraduate,High,iOS,Apple Store,East,WhatsApp,254,9999,12,11,Yes,Latest,Binge,Night,5 mins every hour,Monthly,73,69,179,Socializing,Text Posts,17,10,5
U0064,46,Male,East Mary,Unemployed,Married,Undergraduate,Low,iOS,Other,West,Instagram,68,5,0,19,No,Beta,Binge,Morning,None,Weekly,54,42,162,Education,Videos,28,4,6
U0065,-1,Other,Kellyport,Unemployed,Single,High School,Low,Android,Google Play,South,WhatsApp,9999,16,6,7,Yes,Latest,Regular,Afternoon,None,Daily,50,43,327,News,Videos,16,7,4
U0066,99,Female,Angelahaven,Professional,Single,Postgraduate,Middle,iOS,Google Play,East,TikTok,47,4,48,16,No,v1.2,Regular,Morning,10 mins every hour,Monthly,2,85,470,Work,Videos,28,9,3
U0067,25,Other,Elliottland,Unemployed,Single,High School,High,Tablet,Google Play,South,Facebook,66,9,15,29,No,Beta,Regular,Night,None,Daily,95,18,207,News,Text Posts,8,5,3
U0068,53,Other,North John,Retired,Widowed,Postgraduate,High,Android,Google Play,West,WhatsApp,Invalid,10,23,10,Yes,v1.0,Regular,Night,None,Weekly,92,10,331,News,Videos,29,9,9
U0069,41,Female,South Lydiaport,Professional,Married,Undergraduate,High,Tablet,Google Play,North,Instagram,132,17,7,19,No,v1.1,Regular,Night,5 mins every hour,Daily,76,62,372,News,Photos,6,3,10
U0070,48,Other,Eileenstad,Retired,Single,Undergraduate,Middle,Android,Other,South,Instagram,132,9999,12,26,No,Latest,Regular,Afternoon,10 mins every hour,Monthly,35,77,315,Work,Text Posts,9,7,1
U0071,47,Female,West Richard,Unemployed,Single,Undergraduate,Low,iOS,Google Play,East,WhatsApp,9999,6,12,28,No,v1.2,Rare,Morning,5 mins every hour,Daily,12,86,429,Entertainment,Videos,7,8,7
U0072,41,Male,West Erica,Professional,Married,Postgraduate,Middle,iOS,Google Play,West,Instagram,160,9999,41,12,No,Latest,Regular,Afternoon,10 mins every hour,Daily,2,51,385,Entertainment,Photos,12,1,7
U0073,24,Other,Ortizburgh,Retired,Single,High School,High,Android,Apple Store,East,Twitter,229,12,1,14,Invalid,Latest,Binge,Afternoon,None,Weekly,2,88,426,News,Photos,14,10,2
U0074,26,Invalid,East Johnview,Unemployed,Widowed,Undergraduate,Middle,Tablet,Apple Store,West,Twitter,287,8,5,18,No,v1.1,Rare,Morning,5 mins every hour,Monthly,29,94,215,News,Photos,6,4,2
U0075,34,Male,Lake Billyshire,Student,Widowed,Undergraduate,Middle,iOS,Other,South,Twitter,289,7,42,20,Yes,v1.0,Regular,Afternoon,5 mins every hour,Monthly,9999,18,363,Education,Photos,20,1,2
U0076,47,Male,Ramosborough,Retired,Single,High School,High,Tablet,Other,South,TikTok,244,9999,49,6,No,v1.2,Rare,Evening,10 mins every hour,Monthly,79,83,451,Work,Photos,19,0,6
U0077,99,Male,Douglasberg,Student,Single,Postgraduate,Middle,Tablet,Google Play,North,Twitter,111,13,49,13,Invalid,Latest,Rare,Morning,None,Weekly,98,51,430,Socializing,Text Posts,12,10,9
U0078,-1,Male,Tylerside,Professional,Married,Undergraduate,High,Tablet,Google Play,East,WhatsApp,196,5,1,5,No,Beta,Rare,Afternoon,5 mins every hour,Daily,18,97,379,News,Videos,21,5,5
U0079,-1,Other,New Zacharyborough,Unemployed,Single,Postgraduate,Middle,Android,Google Play,East,Instagram,9999,6,10,13,No,Beta,Regular,Night,5 mins every hour,Daily,66,84,249,Entertainment,Stories,11,8,6
U0080,47,Unknown,West Tonyaport,Retired,Married,High School,Middle,iOS,Google Play,North,Instagram,97,3,16,15,Yes,Latest,Rare,Night,None,Monthly,56,95,139,News,Videos,10,6,9
U0081,52,Other,New Cameron,Professional,Single,Undergraduate,Low,iOS,Google Play,East,Facebook,277,9999,28,12,Yes,Beta,Regular,Afternoon,10 mins every hour,Weekly,11,72,90,News,Photos,16,5,1
U0082,-1,Male,Fisherstad,Professional,Married,Postgraduate,High,iOS,Apple Store,South,Instagram,Invalid,12,0,11,No,Beta,Regular,Night,None,Weekly,50,65,312,Work,Photos,7,10,6
U0083,99,Other,Port Arthurton,Unemployed,Single,Postgraduate,High,Tablet,Apple Store,South,Facebook,275,1,30,20,No,Beta,Rare,Afternoon,10 mins every hour,Weekly,24,82,287,Work,Text Posts,7,1,6
U0084,52,Female,Richardmouth,Unemployed,Widowed,Undergraduate,High,iOS,Google Play,East,Twitter,205,3,36,29,Yes,Latest,Regular,Afternoon,None,Weekly,97,65,296,Socializing,Photos,28,9,6
U0085,35,Female,South Cynthiastad,Unemployed,Single,Undergraduate,Middle,iOS,Google Play,West,WhatsApp,9999,9999,40,22,Yes,v1.2,Binge,Afternoon,None,Monthly,Invalid,34,126,News,Stories,23,3,1
U0086,23,Other,Cassidychester,Student,Single,Postgraduate,Middle,Tablet,Google Play,North,Instagram,272,14,16,25,No,Beta,Binge,Night,10 mins every hour,Daily,74,42,187,Socializing,Text Posts,8,0,2
U0087,Invalid,Male,Michelleville,Unemployed,Widowed,Undergraduate,Low,Android,Apple Store,North,WhatsApp,137,Invalid,6,9,No,v1.0,Regular,Evening,None,Daily,Invalid,80,296,Work,Text Posts,22,3,2
U0088,56,Male,Lake Heather,Retired,Married,High School,Low,Tablet,Google Play,South,Twitter,55,15,18,5,Yes,Latest,Rare,Morning,5 mins every hour,Monthly,46,55,128,Socializing,Text Posts,11,6,7
U0089,46,Other,Lake Kristenborough,Student,Married,High School,Middle,Android,Google Play,West,Twitter,278,18,49,20,Yes,Latest,Rare,Afternoon,None,Daily,31,54,227,Entertainment,Stories,16,3,1
U0090,40,Other,East Charlesbury,Student,Married,Postgraduate,Low,Android,Apple Store,South,TikTok,74,2,47,22,Yes,Beta,Rare,Afternoon,5 mins every hour,Weekly,9999,4,77,Education,Text Posts,8,0,6
U0091,30,Other,Port Alice,Unemployed,Married,Postgraduate,Low,iOS,Google Play,West,TikTok,197,9999,45,12,Yes,v1.2,Binge,Afternoon,None,Daily,26,38,393,News,Stories,29,0,8
U0092,43,Female,West Christian,Unemployed,Widowed,Undergraduate,High,Android,Apple Store,North,TikTok,132,4,27,16,No,Latest,Binge,Afternoon,10 mins every hour,Weekly,58,74,317,Education,Videos,21,3,4
U0093,21,Female,North Ericbury,Professional,Widowed,High School,Middle,iOS,Google Play,East,Facebook,Invalid,3,37,24,Yes,v1.0,Binge,Night,5 mins every hour,Weekly,66,24,174,Education,Photos,26,8,6
U0094,34,Male,New Amanda,Student,Married,Undergraduate,Middle,Tablet,Apple Store,West,Twitter,153,9999,14,22,Yes,Beta,Binge,Morning,5 mins every hour,Monthly,96,39,357,News,Photos,14,0,3
U0095,23,Other,Sheltonfurt,Unemployed,Single,High School,Middle,Tablet,Other,West,TikTok,9999,7,39,12,Yes,v1.0,Binge,Morning,10 mins every hour,Weekly,Invalid,17,280,News,Text Posts,24,6,9
U0096,28,Male,New Anita,Professional,Married,Undergraduate,Low,Android,Apple Store,South,Instagram,Invalid,14,38,13,No,Latest,Regular,Evening,5 mins every hour,Weekly,9999,52,184,Entertainment,Videos,23,6,5
U0097,Invalid,Female,Fergusonport,Unemployed,Widowed,Postgraduate,High,iOS,Google Play,North,TikTok,139,12,29,6,No,v1.0,Binge,Evening,None,Monthly,9999,15,193,Entertainment,Videos,6,5,2
U0098,53,Other,Johnbury,Unemployed,Widowed,High School,Middle,iOS,Apple Store,South,WhatsApp,291,Invalid,34,24,No,Beta,Rare,Night,10 mins every hour,Monthly,Invalid,75,381,Work,Photos,20,6,3
U0099,Invalid,Other,Port Emily,Professional,Single,Postgraduate,High,iOS,Apple Store,West,Twitter,148,13,13,17,Invalid,v1.2,Rare,Morning,None,Daily,34,51,326,Education,Videos,25,10,4
U0100,Invalid,Invalid,New Travis,Unemployed,Married,Undergraduate,Middle,iOS,Google Play,West,Instagram,190,18,2,19,Yes,v1.1,Rare,Night,5 mins every hour,Monthly,27,35,144,Entertainment,Photos,20,7,7
U0101,59,Male,Ronaldbury,Professional,Widowed,Postgraduate,Low,Android,Apple Store,East,Facebook,159,Invalid,14,7,Yes,v1.0,Regular,Afternoon,5 mins every hour,Daily,98,54,192,Work,Stories,19,4,4
U0102,57,Male,West Sarah,Unemployed,Single,Postgraduate,Middle,Tablet,Apple Store,West,Instagram,277,9999,0,12,No,Latest,Rare,Morning,None,Weekly,57,92,404,Education,Photos,28,3,6
U0103,57,Female,West Karenside,Student,Widowed,Undergraduate,High,Tablet,Other,East,Facebook,Invalid,9999,3,7,No,v1.0,Regular,Evening,10 mins every hour,Daily,47,100,208,Entertainment,Stories,20,8,9
U0104,57,Other,South Alyssa,Student,Single,High School,Middle,iOS,Other,North,WhatsApp,9999,11,1,8,No,Latest,Rare,Night,5 mins every hour,Daily,14,34,104,Entertainment,Videos,26,9,4
U0105,53,Other,Perezland,Professional,Single,Postgraduate,Middle,iOS,Google Play,East,Twitter,230,5,36,6,Yes,Beta,Regular,Morning,None,Daily,12,97,339,Education,Photos,17,6,10
U0106,56,Female,North Gloriahaven,Unemployed,Married,High School,Middle,Android,Google Play,West,WhatsApp,93,18,6,8,Yes,Latest,Regular,Night,10 mins every hour,Daily,Invalid,2,56,News,Videos,6,8,9
U0107,-1,Other,Carolynbury,Student,Married,High School,Low,Tablet,Google Play,West,Twitter,264,4,4,11,No,v1.1,Rare,Morning,None,Daily,62,96,379,Work,Stories,5,0,8
U0108,43,Other,Andersonmouth,Retired,Widowed,High School,Low,Android,Google Play,North,Twitter,9999,3,23,22,No,v1.0,Rare,Morning,None,Daily,Invalid,76,246,Entertainment,Photos,20,10,9
U0109,33,Male,Darinside,Professional,Widowed,High School,Low,Android,Apple Store,South,Facebook,148,9,29,16,Yes,v1.2,Binge,Night,10 mins every hour,Monthly,59,50,345,Socializing,Videos,14,5,10
U0110,43,Male,New Savannahmouth,Professional,Widowed,High School,High,Tablet,Google Play,North,Instagram,194,11,28,14,Yes,v1.2,Rare,Afternoon,5 mins every hour,Weekly,9999,29,151,Socializing,Stories,18,3,2
U0111,28,Unknown,Lake Robertbury,Retired,Married,High School,Low,Android,Apple Store,West,Facebook,158,6,43,7,No,Latest,Regular,Morning,10 mins every hour,Daily,34,92,445,Socializing,Videos,19,0,6
U0112,20,Other,West Jacquelineview,Unemployed,Widowed,High School,Middle,iOS,Apple Store,North,TikTok,133,Invalid,22,26,Yes,Latest,Rare,Afternoon,5 mins every hour,Monthly,82,27,471,News,Videos,14,3,8
U0113,57,Female,Lake Karen,Professional,Single,Postgraduate,High,Android,Google Play,East,Instagram,248,18,21,17,Invalid,v1.1,Regular,Evening,5 mins every hour,Weekly,Invalid,69,217,Education,Stories,8,8,10
U0114,57,Male,Douglasside,Retired,Married,Postgraduate,Low,Android,Other,West,Instagram,117,9999,18,11,Yes,Beta,Rare,Morning,10 mins every hour,Daily,83,82,108,Education,Videos,10,4,8
U0115,43,Male,East Cassandra,Retired,Married,Undergraduate,Middle,Tablet,Apple Store,North,WhatsApp,Invalid,6,37,8,Yes,Latest,Regular,Afternoon,10 mins every hour,Monthly,7,34,241,News,Photos,28,9,1
U0116,-1,Other,Margaretborough,Unemployed,Single,Postgraduate,Middle,Tablet,Other,West,Facebook,Invalid,2,11,16,Yes,v1.2,Binge,Afternoon,None,Monthly,Invalid,26,243,Education,Text Posts,16,4,7
U0117,37,Invalid,North Andrewstad,Retired,Widowed,High School,High,Tablet,Google Play,West,TikTok,150,7,19,14,Yes,Beta,Rare,Morning,None,Weekly,26,21,293,Work,Videos,22,3,2
U0118,42,Invalid,West Amymouth,Professional,Single,Undergraduate,High,iOS,Google Play,West,Twitter,297,9999,6,20,No,v1.2,Regular,Evening,None,Weekly,28,61,348,Education,Text Posts,29,5,10
U0119,29,Other,Samanthamouth,Student,Single,Postgraduate,Middle,Android,Apple Store,East,Instagram,101,3,26,20,Yes,v1.1,Binge,Afternoon,5 mins every hour,Weekly,82,23,498,Work,Stories,27,5,7
U0120,Invalid,Male,East Julieberg,Unemployed,Widowed,Postgraduate,Low,iOS,Google Play,West,Facebook,Invalid,10,37,8,Invalid,Beta,Binge,Night,5 mins every hour,Weekly,53,35,284,Work,Stories,9,0,5
U0121,49,Male,Roberttown,Unemployed,Widowed,High School,High,Tablet,Google Play,North,Instagram,123,9,13,9,No,v1.1,Rare,Night,5 mins every hour,Monthly,68,87,360,Education,Photos,18,4,1
U0122,56,Female,Everettfort,Retired,Married,Postgraduate,High,Android,Apple Store,East,Facebook,32,2,14,10,No,v1.1,Rare,Morning,None,Monthly,Invalid,74,142,Entertainment,Stories,27,4,8
U0123,36,Unknown,Danaside,Retired,Single,High School,Middle,iOS,Apple Store,South,Facebook,9999,Invalid,22,26,No,v1.2,Binge,Afternoon,10 mins every hour,Weekly,42,62,213,Entertainment,Stories,8,9,8
U0124,55,Other,West Jasmin,Unemployed,Single,High School,Low,Android,Google Play,North,WhatsApp,185,9,3,6,No,v1.1,Binge,Night,5 mins every hour,Weekly,64,32,429,Education,Text Posts,23,8,2
U0125,23,Female,North Cassandra,Unemployed,Widowed,Postgraduate,Middle,Android,Google Play,West,Facebook,281,Invalid,11,14,No,v1.2,Regular,Night,5 mins every hour,Monthly,Invalid,83,196,Education,Text Posts,21,5,2
U0126,45,Other,South Angelamouth,Retired,Married,Undergraduate,Middle,Tablet,Apple Store,South,Twitter,9999,14,26,18,Yes,v1.0,Rare,Morning,None,Daily,77,24,485,Education,Text Posts,20,0,6
U0127,36,Female,East Diane,Retired,Married,Undergraduate,Middle,iOS,Google Play,East,TikTok,9999,13,42,21,Yes,v1.2,Rare,Evening,10 mins every hour,Weekly,59,25,226,Socializing,Text Posts,8,8,3
U0128,21,Female,Alexville,Retired,Single,Postgraduate,Low,Android,Google Play,South,Instagram,269,12,46,14,Yes,v1.2,Regular,Evening,None,Weekly,25,13,346,News,Photos,14,5,7
