crop_type,yield_per_acre,sowing_date,harvest_date,soil_nutrient_levels,rainfall,temperature,farmer_id,subsidy_amount,disbursement_date,soil type,crop name,location,Amount paid,Water usage(Litres),Electricity,Workers,Number of Acres
wheat,56.12,02-07-2021,09-02-2022,medium,21.74,4.39,74,6495.52,02-01-2021,Loamy,Sunflower,Jammu and Kashmir,5678,383,TRUE,10,267
wheat,57.87,11-04-2020,5/28/2022,low,20.69,84.28,75,8421.63,11/25/2020,Desert,Chili,Odisha,9289,201,FALSE,6,967
soybeans,15.56,1/20/2022,11-11-2020,medium,14.55,-7.56,76,7586.49,09-06-2021,Desert,Jute,Uttarakhand,2941,84,TRUE,8,178
cotton,12.57,1/29/2022,7/15/2022,low,49.33,31.32,77,1351.63,1/26/2022,Mountain,Cabbage,Gujarat,8019,867,TRUE,8,997
rice,29.44,08-07-2020,10/17/2021,medium,40.93,-4.25,78,1111.47,10-06-2020,Mountain,Coffee,Andhra Pradesh,1858,195,TRUE,6,55
soybeans,5.71,9/30/2021,12-11-2021,low,13.81,21.24,79,7788.18,12/20/2020,Alluvial,Sunflower,Karnataka,2736,228,TRUE,4,264
rice,27.42,1/26/2021,7/29/2020,high,47.05,1.3,80,2648.42,1/18/2021,Laterite,Mustard,Rajasthan,8448,996,FALSE,10,98
rice,88.69,2/26/2022,9/19/2021,low,38.05,16.41,81,5369.55,07-01-2022,Saline,Sugarcane,Madhya Pradesh,5,125,FALSE,5,879
rice,74.34,12/26/2021,2/24/2020,medium,5.25,19.05,82,2730.02,10-05-2022,Loamy,Potato,West Bengal,449,913,TRUE,9,417
soybeans,62.38,6/17/2021,3/23/2020,medium,24.29,-11.3,83,5075.64,06-10-2020,Black,Peanut,Odisha,9803,299,FALSE,10,507
corn,62.06,1/31/2020,8/18/2020,low,43.45,-14.83,84,3734.94,06-02-2022,Mountain,Apple,West Bengal,2928,253,FALSE,7,803
rice,74.06,05-04-2022,07-03-2020,high,42.32,57.51,85,5498.17,5/16/2022,Peaty,Maize,Rajasthan,3222,398,TRUE,5,430
cotton,58.48,11-10-2022,09-06-2020,medium,19.17,107.12,86,8477.57,11/16/2021,Saline,Sugarcane,Madhya Pradesh,8265,659,TRUE,6,498
cotton,95.8,6/19/2021,09-09-2021,low,43.3,67.08,87,9377.26,8/22/2022,Mountain,Groundnut,Andhra Pradesh,1306,745,TRUE,9,659
rice,56.59,10-09-2021,6/26/2021,medium,23.55,110.35,88,7968.52,12-01-2021,Clayey,Cabbage,Uttar Pradesh,6405,46,FALSE,8,715
corn,28.2,9/16/2022,04-12-2021,medium,15.5,2.07,89,3448.79,12-12-2022,Red,Barley,Rajasthan,1543,93,TRUE,7,808
wheat,12.39,09-09-2021,9/21/2021,medium,21.52,39.09,90,307.28,06-02-2021,Black,Tobacco,Uttar Pradesh,9275,971,TRUE,2,914
wheat,72.93,12/30/2020,04-10-2022,medium,33.52,0.52,91,1126.97,8/30/2022,Clayey,Millets,West Bengal,481,262,TRUE,4,607
wheat,75.29,1/20/2022,03-10-2020,low,21.69,93.09,92,661.57,7/21/2021,Peaty,Bajra (Pearl Millet),Assam,712,275,FALSE,6,91
cotton,24.15,6/29/2022,06-06-2020,medium,11.85,101.08,93,2337.05,03-05-2022,Saline,Areca nut,Assam,553,386,FALSE,3,996
soybeans,33.76,11-08-2022,04-12-2022,high,8.34,-1.48,94,1378.13,09-01-2021,Black,Barley,Haryana,6047,336,FALSE,8,882
soybeans,19.82,10/19/2022,08-03-2021,low,19.97,56.41,95,2578.09,02-07-2021,Alluvial,Date Palm,Rajasthan,4881,886,TRUE,7,223
soybeans,83.76,05-12-2022,11-11-2020,high,43.99,-2.71,96,9980.82,09-10-2021,Saline,Coffee,Kerala,9128,312,TRUE,2,687
corn,55.28,04-01-2020,01-03-2020,high,48.06,96.41,97,6257.12,2/25/2021,Saline,Groundnut,Chhattisgarh,2313,425,TRUE,6,428
corn,76.15,11/24/2022,9/21/2021,low,13.73,66.62,98,1627.14,5/30/2021,Clayey,Coriander,Telangana,2900,667,FALSE,10,36
wheat,99.16,7/14/2021,3/28/2020,high,35.78,-12.1,99,9185.53,5/22/2022,Loamy,Vegetables,Punjab,84,61,TRUE,4,892
cotton,12.31,10/25/2022,09-09-2020,medium,24.14,94,100,8769.77,4/26/2020,Clayey,Guar,Bihar,336,330,TRUE,6,414
cotton,44.26,6/19/2022,08-10-2022,low,19.3,-6.49,101,4121.73,3/31/2020,Clayey,Potato,Rajasthan,7492,281,FALSE,7,846
wheat,75.08,05-01-2021,1/22/2020,high,11.01,108.49,102,1144.74,12-05-2021,Red,Ragi,Karnataka,8260,761,TRUE,4,406
wheat,5.61,9/17/2022,6/26/2020,high,32.26,72.74,103,7139.13,04-01-2020,Peaty,Peanut,Uttarakhand,6246,213,TRUE,2,699
rice,6.86,9/16/2020,04-07-2022,medium,45.58,41.41,104,286.59,11/13/2022,Red,Barley,Chhattisgarh,5297,569,FALSE,9,76
wheat,12.04,01-08-2021,04-11-2021,medium,43.61,113.47,105,2189.4,08-03-2021,Clayey,Barley,Gujarat,9269,789,FALSE,9,545
corn,0.38,06-06-2022,05-12-2021,medium,43.22,111.06,106,9623.05,5/31/2021,Black,Cotton,Kerala,7927,89,FALSE,3,675
soybeans,99.22,3/22/2021,12-10-2021,medium,2.16,38.22,107,5474.96,10/28/2020,Peaty,Rice,Madhya Pradesh,5606,959,TRUE,10,416
soybeans,89.94,07-06-2020,7/15/2020,high,7.8,-19.9,108,8158.63,07-06-2022,Laterite,Lentil,Gujarat,9713,591,TRUE,9,722
soybeans,0.07,05-12-2022,4/29/2021,medium,13.01,20.23,109,8604.18,3/15/2020,Black,Plum,Madhya Pradesh,8403,718,TRUE,4,656
wheat,59.76,10/14/2021,1/30/2022,low,46.21,-5.07,110,6603.89,8/13/2020,Desert,Sunflower,Himachal Pradesh,1623,181,TRUE,7,546
wheat,69.86,5/13/2020,6/16/2022,low,11.82,71.5,111,3696.29,5/28/2021,Saline,Cashew,Jammu and Kashmir,6882,144,FALSE,1,716
rice,36.83,3/25/2022,09-05-2021,low,39.24,41.62,112,4594.61,08-12-2022,Mountain,Cabbage,Kerala,6983,339,FALSE,4,847
wheat,35.58,10-09-2022,1/16/2022,medium,39.69,59.91,113,7489.81,3/25/2021,Alluvial,Guar,Karnataka,5361,8,TRUE,6,978
corn,86.91,3/26/2022,3/16/2020,low,27.09,61.67,114,9863.71,08-06-2021,Saline,Chili,Maharashtra,9602,233,TRUE,2,323
rice,6.03,10-12-2022,5/28/2022,low,46.36,6.81,115,1832.57,08-08-2022,Mountain,Sorghum,Assam,94,217,TRUE,10,898
soybeans,7.67,7/22/2020,02-10-2021,high,46.08,107.68,116,1928.97,09-11-2020,Black,Rice,Uttarakhand,609,930,FALSE,8,876
corn,77.9,02-06-2022,10-04-2021,high,28.38,14.01,117,2544.01,11-02-2022,Peaty,Pulses,Karnataka,9100,793,FALSE,8,337
soybeans,26.52,07-09-2022,02-01-2022,high,21.82,98.47,118,4863.75,10/21/2022,Alluvial,Chili,Telangana,4225,415,FALSE,9,970
wheat,81.21,09-07-2021,03-08-2022,low,2.15,-7.61,119,4146.35,5/18/2022,Laterite,Barley,Telangana,5794,885,FALSE,6,76
wheat,54.63,1/19/2020,7/18/2020,high,30.95,4.76,120,4537.22,6/25/2022,Saline,Onion,West Bengal,2252,961,FALSE,10,360
corn,85.14,4/21/2020,2/14/2022,high,27.91,116.6,121,272.62,7/25/2022,Red,Cabbage,Chhattisgarh,5450,886,TRUE,10,227
rice,94.92,9/27/2022,03-01-2022,low,0.71,53.55,122,2500.01,5/17/2020,Desert,Cashew,West Bengal,9604,700,TRUE,7,237
wheat,42.17,02-04-2020,5/30/2021,medium,4.99,98.49,123,630.89,5/25/2020,Peaty,Pulses,Himachal Pradesh,7698,16,TRUE,7,301
wheat,82.99,07-09-2022,11/26/2020,high,8.53,111.73,124,477.14,10/13/2022,Loamy,Plum,Haryana,4844,232,FALSE,6,218
cotton,39.97,1/27/2022,9/20/2022,medium,43.6,48.11,125,1020.28,12/18/2021,Laterite,Peanut,Bihar,5044,607,TRUE,9,82
soybeans,76.22,11/21/2022,01-11-2020,high,3.59,73.71,126,4375.95,12/24/2021,Loamy,Date Palm,Himachal Pradesh,5387,6,FALSE,1,38
corn,41.17,05-04-2020,08-02-2020,medium,41.11,58.92,127,5528.92,12-03-2022,Red,Date Palm,Himachal Pradesh,1012,799,FALSE,6,262
soybeans,57.4,09-09-2020,10/16/2021,low,27.93,66.96,128,9010.88,11/26/2021,Mountain,Wheat,Maharashtra,8707,572,FALSE,10,13
wheat,89.04,3/19/2021,8/15/2021,medium,4.23,9.36,129,9706.25,05-09-2020,Laterite,Apple,Gujarat,2830,382,TRUE,5,883
corn,45.68,02-09-2020,07-01-2022,low,20.11,88.78,130,8296.45,10/22/2020,Red,Wheat,Haryana,3612,855,TRUE,9,417
wheat,9.09,02-09-2020,10/29/2020,medium,32.19,103.2,131,8440.09,10/28/2021,Peaty,Tur (Pigeon Pea),Bihar,7751,4,FALSE,9,277
rice,77.31,1/26/2021,05-01-2020,medium,35.57,76.01,132,1396.39,10/28/2022,Saline,Maize,Kerala,8587,541,TRUE,6,141
corn,51.6,07-10-2021,03-06-2022,low,42.83,77.22,133,194.34,08-07-2020,Peaty,Jute,Madhya Pradesh,8293,46,TRUE,3,294
cotton,46.05,6/21/2021,5/18/2022,medium,42.16,77.4,134,1334.72,10-05-2021,Laterite,Cashew,Jammu and Kashmir,7156,149,TRUE,2,583
corn,7.13,5/21/2021,3/16/2020,high,32.72,101.59,135,3341.69,07-03-2021,Red,Peach,Rajasthan,3517,666,TRUE,6,456
wheat,49.55,2/21/2020,08-02-2021,high,44.65,-0.06,136,9104.56,6/24/2022,Clayey,Cumin,West Bengal,8383,992,TRUE,3,836
cotton,45.05,10-11-2022,09-10-2022,high,35,56.29,137,3356.24,02-09-2021,Laterite,Cabbage,West Bengal,8939,424,TRUE,6,317
corn,0.7,2/15/2020,08-07-2020,medium,31.55,-16.77,138,8877.67,02-06-2022,Desert,Sesame,West Bengal,5011,911,TRUE,2,557
soybeans,27.93,03-12-2021,04-06-2021,medium,2.74,6.48,139,5650.63,8/29/2022,Loamy,Bajra (Pearl Millet),Gujarat,1995,304,FALSE,4,712
rice,32.62,9/22/2022,3/20/2020,low,25.91,40.23,140,7297.96,3/13/2021,Laterite,Soybean,Maharashtra,5705,101,TRUE,7,333
wheat,37.96,04-12-2020,09-08-2020,low,47.42,57.21,141,8510.23,6/24/2020,Saline,Peach,Kerala,5121,552,FALSE,8,656
wheat,20.3,12-08-2021,1/20/2020,low,3.51,11.88,142,5193.22,06-02-2020,Peaty,Vegetables,Uttarakhand,5869,795,FALSE,6,60
rice,92.39,6/20/2020,4/15/2020,medium,29.6,104.55,143,7951.96,2/16/2021,Laterite,Jute,Jammu and Kashmir,6043,771,TRUE,3,690
wheat,40.57,5/13/2020,03-08-2022,high,19.29,8.43,144,6850.44,12/30/2021,Red,Potato,Assam,206,177,TRUE,9,227
cotton,42.1,03-08-2020,12/15/2020,high,12.05,-14.87,145,5056.01,10/21/2020,Peaty,Sugarcane,Uttar Pradesh,9501,411,TRUE,1,522
soybeans,87.59,02-10-2021,5/13/2022,high,49.43,53.56,146,3487.93,01-04-2022,Red,Onion,Himachal Pradesh,3731,747,FALSE,3,233
soybeans,15.22,01-07-2022,04-05-2022,high,28.92,18.9,147,1255.27,1/29/2022,Red,Coriander,Punjab,3676,385,FALSE,1,363
corn,76.69,2/20/2022,05-07-2022,low,27.25,80.56,148,1339.54,02-01-2021,Saline,Coffee,Haryana,2661,43,TRUE,1,538
wheat,21.28,3/18/2022,10/28/2022,low,20.31,4.27,149,687.09,08-07-2022,Red,Cabbage,Punjab,56,555,TRUE,9,808
corn,64.37,3/16/2020,3/15/2021,medium,36.82,64.27,150,1978.29,4/26/2021,Red,Soybean,Jammu and Kashmir,8349,653,FALSE,3,410
cotton,48.45,02-05-2021,10-05-2020,medium,3.06,97.67,151,1227.63,5/25/2020,Desert,Potato,Jammu and Kashmir,9338,698,FALSE,7,11
corn,25.42,12-10-2020,9/25/2020,high,12.39,48.16,152,2504.65,9/20/2021,Clayey,Guar,Madhya Pradesh,6934,338,FALSE,1,671
corn,41.03,12/30/2021,10/20/2021,high,10.07,79.65,153,1021.42,06-03-2022,Peaty,Peanut,Assam,8306,4,TRUE,1,925
corn,77.55,1/20/2020,4/20/2021,low,2.93,-3.17,154,1570.34,12/26/2022,Alluvial,Date Palm,Andhra Pradesh,5048,364,FALSE,5,739
corn,60.84,6/17/2021,6/27/2022,high,35.52,10.21,155,5025.79,01-08-2022,Black,Cumin,Kerala,8249,720,FALSE,7,113
cotton,92.29,07-08-2020,03-02-2021,medium,19.5,68.38,156,6412.47,4/24/2022,Saline,Vegetables,Gujarat,7455,216,TRUE,9,510
cotton,24.93,11-05-2022,09-07-2020,high,49.04,92.09,157,4033.56,1/29/2020,Loamy,Tea,Assam,1754,169,TRUE,2,205
soybeans,79.04,12/14/2022,05-06-2022,medium,19.2,2.07,158,9325.48,8/20/2021,Mountain,Apple,Assam,8966,924,FALSE,4,768
cotton,24.46,7/19/2021,2/13/2022,high,23.18,40.65,159,6840.01,12/31/2020,Mountain,Maize,Rajasthan,5172,914,FALSE,8,282
rice,50.24,09-08-2022,12/19/2022,low,29.94,14.99,160,5897.88,02-11-2022,Laterite,Tobacco,Chhattisgarh,114,916,TRUE,3,470
wheat,81.19,10/14/2022,6/30/2021,high,35.19,85.6,161,2689.32,03-08-2020,Peaty,Maize,Rajasthan,5045,996,FALSE,7,236
wheat,47.65,07-02-2021,4/24/2022,low,37.51,102.07,162,3159.54,12/16/2022,Red,Vegetables,Assam,6438,58,TRUE,6,193
cotton,82.97,9/30/2022,3/25/2021,high,26.91,-18.3,163,7008.32,5/26/2022,Laterite,Sesame,Jammu and Kashmir,7579,92,TRUE,2,554
soybeans,5.5,10-03-2021,7/18/2022,low,22.1,43.82,164,5322.77,08-02-2022,Clayey,Rice,Assam,8677,353,FALSE,10,25
soybeans,81.65,07-12-2022,10/15/2021,low,49.17,95.48,165,8289.69,1/18/2020,Loamy,Pineapple,Jammu and Kashmir,2952,405,FALSE,2,869
rice,64.41,01-08-2022,11-04-2020,medium,23.14,-11.19,166,6140.18,12/20/2022,Red,Chili,Odisha,4772,337,TRUE,1,256
soybeans,54.26,4/25/2021,7/25/2020,low,36.42,20.45,167,3898.78,1/30/2020,Clayey,Cotton,Madhya Pradesh,8973,297,FALSE,8,319
rice,36.71,12/18/2022,10-04-2022,medium,32.44,72.29,168,8467.16,09-09-2021,Loamy,Peach,Haryana,9944,674,FALSE,5,826
corn,36.03,12-10-2020,09-12-2020,high,36,47.24,169,3792.69,07-11-2021,Laterite,Groundnut,Rajasthan,3773,370,FALSE,9,79
rice,24.13,12-01-2021,08-10-2022,medium,8.48,80.06,170,3975.16,11/25/2020,Laterite,Chickpea,Punjab,33,503,TRUE,6,426
wheat,62.7,03-10-2022,07-11-2022,medium,28.99,1.05,171,2863.91,05-11-2021,Saline,Groundnut,Telangana,5892,51,FALSE,7,90
corn,3.24,11/14/2020,01-09-2022,high,3.16,58.42,172,9672.96,11-08-2022,Loamy,Vegetables,Punjab,7753,418,FALSE,9,617
cotton,51.88,5/14/2022,5/27/2021,high,5.22,93.12,173,8035.46,6/20/2021,Laterite,Peanut,Uttarakhand,7097,518,FALSE,8,201
corn,91.35,7/26/2021,12-01-2022,high,34.69,6.13,174,6549.96,6/18/2022,Red,Millets,Haryana,7720,940,FALSE,2,766
corn,78.8,06-03-2021,5/24/2021,low,6.29,-6.52,175,4798.99,09-08-2022,Red,Maize,Odisha,6483,523,FALSE,7,655
cotton,79.8,2/27/2020,10-02-2020,medium,20.61,111.22,176,5.21,6/24/2020,Clayey,Guar,West Bengal,7099,993,TRUE,3,733
soybeans,10.77,12/16/2021,9/27/2021,medium,5.08,95.7,177,4481.83,08-05-2021,Loamy,Soybean,Kerala,5497,880,TRUE,6,29
soybeans,48.67,12/27/2022,4/28/2020,medium,21.75,51.79,178,580.57,9/13/2020,Black,Guar,Tamil Nadu,8162,103,FALSE,3,988
rice,88.57,4/21/2020,1/24/2022,low,22.68,69.09,179,2963.85,09-10-2022,Loamy,Cumin,Rajasthan,6796,953,TRUE,1,917
